name,location,address,maps_url
Bank misr atm,"(29.8980716, 31.2770744)","V7XG+6RG, Madinet Al Hawamdeyah, El Hawamdeya","https://www.google.com/maps/search/?api=1&query=29.8980716,31.2770744"
بنك مصر فرع البدرشين,"(29.8463797, 31.2770966)","R7WG+GRV, Unnamed Rd, Madinet Al Badrashin, Badrshein","https://www.google.com/maps/search/?api=1&query=29.8463797,31.2770966"
Banque Misr,"(29.9088558, 31.2894392)",10 ش كورنيش النيل، الكورنيش، اسوان,"https://www.google.com/maps/search/?api=1&query=29.9088558,31.2894392"
Banque Misr بنك مصر فرع سرايات المعادي,"(29.9567564, 31.26097619999999)","69 Rd 9, Maadi Al Khabiri Ash Sharqeyah, Maadi","https://www.google.com/maps/search/?api=1&query=29.9567564,31.26097619999999"
بنك مصر,"(29.9553117, 31.2762433)","شارع ١٩٩ - قسم شرطة المعادي، حي ثكنات, Maadi","https://www.google.com/maps/search/?api=1&query=29.9553117,31.2762433"
Misr Digital Innovation (MDI),"(29.9555637, 31.26084479999999)","8 Street 7, Maadi","https://www.google.com/maps/search/?api=1&query=29.9555637,31.26084479999999"
NBE ATM - Misr Pharmacy Saknat El Maadi - صيدليات مصر ثكنات المعادي,"(29.9539511, 31.2672435)","Maadi - المعادى, 20 , 78 St. Infront of Lycee El Horiya - Maadi 20 ش 78 امام ليسيه الحرية, Maadi","https://www.google.com/maps/search/?api=1&query=29.9539511,31.2672435"
Banque Misr,"(29.9664299, 31.2690322)","50 Intersection Of Rd. 24, El Arab Sq., Maadi as Sarayat Al Gharbeyah, Maadi","https://www.google.com/maps/search/?api=1&query=29.9664299,31.2690322"
Banque Misr,"(29.9579097, 31.25876629999999)","42 Rd. 7, Maadi Al Khabiri Ash Sharqeyah, Maadi","https://www.google.com/maps/search/?api=1&query=29.9579097,31.25876629999999"
Banque Misr,"(29.9610644, 31.2476383)","28 Nile Corniche, Maadi","https://www.google.com/maps/search/?api=1&query=29.9610644,31.2476383"
Banque Misr,"(29.9845656, 31.2451514)","X6MW+R3C, Dar El-Salam, El Basatin","https://www.google.com/maps/search/?api=1&query=29.9845656,31.2451514"
Banque Misr ATM,"(29.9712395, 31.272068)","X7CC+FRW, Street 257, Ezbet Fahmy, El Basatin","https://www.google.com/maps/search/?api=1&query=29.9712395,31.272068"
Bank Misr,"(29.99116429999999, 31.2283101)","187 Nile Corniche, Kom Ghorab, Old Cairo","https://www.google.com/maps/search/?api=1&query=29.99116429999999,31.2283101"
بنك مصر,"(29.9571715, 31.25653239999999)","No. 4, شارع4،المعادى،قسم، Maadi","https://www.google.com/maps/search/?api=1&query=29.9571715,31.25653239999999"
بنك مصر,"(29.9954238, 31.2085877)","X6W5+5FF, Al Omraneyah Ash Sharqeyah, El Omraniya","https://www.google.com/maps/search/?api=1&query=29.9954238,31.2085877"
Misr Iran Development Bank - MIDB,"(29.95923569999999, 31.2554507)","355 تقاطع ش 152, Maadi Al Khabiri Ash Sharqeyah, Maadi","https://www.google.com/maps/search/?api=1&query=29.95923569999999,31.2554507"
بنك مصر,"(29.9653022, 31.2636217)","X787+4C8، شارع نادى المعادى المعادي قسم اول, Maadi","https://www.google.com/maps/search/?api=1&query=29.9653022,31.2636217"
بنك مصر,"(29.9772163, 31.2857006)","X7GP+V7P، شارع النصر، صقر قريش، المعادى، قسم, Maadi","https://www.google.com/maps/search/?api=1&query=29.9772163,31.2857006"
Bank misr ATM,"(29.9679709, 31.2875903)","X79Q+43Q, Ezbet Fahmy, El Basatin","https://www.google.com/maps/search/?api=1&query=29.9679709,31.2875903"
Bank Misr,"(29.9765629, 31.2894987)","X7GQ+JQH, El-Nasr Rd, Ezbet Fahmy, El Basatin","https://www.google.com/maps/search/?api=1&query=29.9765629,31.2894987"
ATM Bank Misr,"(29.9765885, 31.2895205)","X7GQ+JRJ, El-Nasr Rd, Ezbet Fahmy, El Basatin","https://www.google.com/maps/search/?api=1&query=29.9765885,31.2895205"
Banque Misr,"(30.0387231, 31.2011417)","29 Mossadak, Ad Doqi, Dokki","https://www.google.com/maps/search/?api=1&query=30.0387231,31.2011417"
Banque Misr,"(30.0191677, 31.22508029999999)","269F+MXG, Al Manial, Al Manyal Al Gharbi, Old Cairo","https://www.google.com/maps/search/?api=1&query=30.0191677,31.22508029999999"
Banque Misr,"(30.04378049999999, 31.2236345)","3 شارع المنصور محمد، St, Zamalek","https://www.google.com/maps/search/?api=1&query=30.04378049999999,31.2236345"
Banque Misr,"(30.037768, 31.2332371)","47 ش نجيب الريحانى, Qasr El Nil","https://www.google.com/maps/search/?api=1&query=30.037768,31.2332371"
Banque Misr,"(30.037344, 31.215863)","33 Al Mesaha, Ad Doqi A, Dokki","https://www.google.com/maps/search/?api=1&query=30.037344,31.215863"
Banque Misr,"(30.0161114, 31.2815476)","278J+FJ3, Street 11, Al Abageyah, El Khalifa","https://www.google.com/maps/search/?api=1&query=30.0161114,31.2815476"
Banque Misr -Sayeda Zainab Branch,"(30.0379177, 31.2499039)","26QX+5X6, Ad, Al-Darb Al-Ahmar","https://www.google.com/maps/search/?api=1&query=30.0379177,31.2499039"
Banque Misr,"(30.0133231, 31.2250269)","267G+847, Al Mamalik Sq., AR Rawdah WA Al Meqyas, Old Cairo","https://www.google.com/maps/search/?api=1&query=30.0133231,31.2250269"
Banque Misr,"(30.0393217, 31.24067549999999)","1 ش مجلس الشعب, Al Gazirah Al Gadidah, El Sayeda Zeinab","https://www.google.com/maps/search/?api=1&query=30.0393217,31.24067549999999"
Bank Misr ATM,"(30.0312077, 31.228367)","26JH+FCJ, Kasr Al Ainy Entrance Rd, Old Cairo","https://www.google.com/maps/search/?api=1&query=30.0312077,31.228367"
